company,m_a_between_1_1_15_12_31_20,type_of_server,nature_of_breach,vertical,mega_breach,details_on_record_number,raw_record_number,company_founded_before_year_2010,year_company_was_founded,date_breach_occurred,date_breach_was_reported,link,source,location,location_2
Alinta Energy,NA,unknown,didn't have any proper systems or security to protect any of the sensitive data it stored,energy,NA,"names, addresses, birth dates, mobile numbers, Medicare and passport numbers, credit card details and, in some cases, individual health records.",1.1 million customers,no,2011,2019,March,https://www.abc.net.au/news/2020-03-02/alinta-energy-accused-of-putting-customers-information-at-risk/12006752,abc australia,australia,NA
Antheus Tecnologia,NA,unkown,"unsecured database, no password protection in the cloud",technology,NA,"fingerprints, email addresses, admin login, phone numbers",81.5 million records,yes,1996,March,March,https://auth0.com/blog/the-11-biggest-data-breaches-of-2020-so-far/,auth0,Brazil,NA
Clearview,NA,unkown,not specified,AI,NA,list of customers,unknown,no,2017,Feb.,Feb.,https://www.cnet.com/news/clearview-ai-had-entire-client-list-stolen-in-data-breach/,Cnet,"Manhattan, NY",NA
Denmark,NA,unkown,software bug in URL,government,NA,taxpayer ID numbers,1.26 million people,yes,8th century,2015,Jan 2020,https://www.zdnet.com/article/software-error-exposes-the-id-numbers-for-1-26-million-danish-citizens/,ZDnet,denmark,NA
Entercom Radio,NA,unknown,someone was able to access database backup files stored third-party cloud hosting services,media,NA,user credentials,unknown,yes,1968,Aug. 2019,March,https://www.bleepingcomputer.com/news/security/entercom-radio-giant-says-data-breach-exposed-user-credentials/,bleeping computer,NA,NA
Estee Lauder,NA,unsecured server,no password protection or any kind of security protecting the data base,beauty,NA,"emails, references to reports and internal docs, IP addresses",440 million records,yes,1946,Jan. 30,Feb. 11,https://www.forbes.com/sites/daveywinder/2020/02/11/estee-lauder-data-leak-440-million-records-exposed/?sh=509a5a862590,Forbes,NYC,NA
Keepnet labs,NA,Elasticsearch,publicly accessible database,security,NA,collection of data breaches that have occured,5 billion records,no,2017,March,March,https://securitydiscovery.com/data-breach-database-data-breach/,Security Discovery,"London, UK",NA
LabCorp,NA,unknown,"back-end of the website was not password protected, people could get to it through a google url",healthcare,NA,"names, addresses, ssn","10,000 records",yes,1978,January,January,https://techcrunch.com/2020/01/28/labcorp-website-bug-medical-data-exposed/,techcrunch,North Carolina,NA
MCA Wizards,NA,AWS,unsecured s3 bucket,finance,NA,"private legal and business documents, companies private info: ssn, credit reports",425GB,unknown,unknown,march,March,https://www.zdnet.com/article/financial-apps-leak-425gb-in-company-data-through-open-database/,ZDnet,unknown,NA
Microsoft,NA,Elasticsearch,unsecured server,technology,NA,"250 million customer records: service logs, IP addresses, email address, locations. case numbers, resolutions","250,000,000",yes,1975,NA,1/22/21,https://www.forbes.com/sites/daveywinder/2020/01/22/microsoft-security-shocker-as-250-million-customer-records-exposed-online/?sh=3598dd7d4d1b,Forbes,"Redmond, WA",NA
Slickwraps,NA,unknown,"a white hacker found a vulnerability in their secuirty systems and tried to alert them, they ignored it and then another hacker found a post from the original hacker talking about it and was able to get in to access personal information",technology,NA,"names, emails, and addresses","370,000 customers",no,2010,feb,feb,https://www.theverge.com/2020/2/25/21153434/slickwraps-apologizes-customers-bad-data-breach,the verge,NA,NA
tetrad,NA,AWS,"exposed cloud container, misconfigurations in security settings,",business,NA,major retailer customer data,747 GB,yes,1967,Feb.,Feb.,https://news.bloomberglaw.com/tech-and-telecom-law/retail-customer-data-exposure-spotlights-cloud-security-risk,bloomberg,"Vancouver, Canada",NA
TH Suite,NA,AWS,unsecured s3 bucket,medical marijuana,NA,"names, birth dates, addresses, phone numbers, medical IDs","85,000 records",NA,unknown,Jan,Jan,https://www.zdnet.com/article/data-leak-strikes-us-cannabis-users-sensitive-information-exposed/,ZDnet,unknown,NA
Unknown,NA,Google,researches found an exposed database of an unknown company,unkown,NA,"names, addresses, demographics, IP addresses",200 million records,unknown,unknown,January,January,https://exclusive.multibriefs.com/content/the-top-10-biggest-data-breaches-of-2020/business-management-services-risk-management,Multibrief,unknown,NA
Virgin Media,NA,unkown,unsecured database,communications,NA,"names, home addresses, phone numbers, email addresses",900k customers,yes,2006,March,March,https://www.zdnet.com/article/virgin-media-exposes-data-of-900000-users-via-unprotected-marketing-database/,ZDnet,UK,NA
Whisper,NA,unsecured server,open database to the public,social media,NA,"ages, locations, ""confessions""",900 million records,no,2012,March,March,https://www.washingtonpost.com/technology/2020/03/10/secret-sharing-app-whisper-left-users-locations-fetishes-exposed-web/,WaPo,"Venice, CA",NA
Alibaba,NA,server with Chinese IP address,publicly accessible database,e-commerce,NA,"names, addresses, phone numbers, relatives, criminal records, ages",56 million US residents,yes,1999,jan,jan,https://www.cyber.nj.gov/public-data-breaches/database-reveals-information-on-56-million-us-residents,New Jersey CyberSecurity,NA,NA
Peekaboo,NA,Elasticsearch,"unsecured database, ""I've never seen a server so blatantly open""",app,NA,"Email addresses, geographic location data, detailed device data, and links to photos and videos",70 million log files,unknown,no,jan,jan,https://www.bankinfosecurity.com/babys-first-data-breach-app-exposes-baby-photos-videos-a-13603,Bank Info Security,NA,NA
NextMotion,NA,AWS,unsecure S3 bucket,healthcare,NA,"Invoices for treatments, Outlines for proposed treatments, Video files, including 360-degree body and face scans, Patient profile photos, both facial and body","900,000 files",no,2015,feb,feb,https://www.securitymagazine.com/articles/91766-000-files-exposed-by-plastic-surgery-technology-provider-nextmotion,security magazine,NA,NA
Photo Squared,NA,AWS,"misconfigured S3 database, which was left without any password protection",app,NA,"Photos, user’s names, addresses, order receipts, and shipping labels","100,000 users",unknown,unknown,feb,feb,https://www.infosecurity-magazine.com/news/photosquared-app-leaks-data/,Infosecurity magazine,NA,NA
Walgreens,NA,unknown,error in the Walgreens personal secure messaging features,pharmacy,NA,"names, prescription numbers, and drug names, store numbers, and shipping addresses`",unknown,yes,1901,march,march,https://healthitsecurity.com/news/walgreens-reports-data-breach-from-personal-mobile-messaging-app-error,Health IT Security,NA,NA
Fresh Film Productions,NA,AWS,unsecured s3 bucket,entertainment,NA,"names, addresses, email addresses, telephone numbers, dates of birth, and bank details were exposed for all of the men participating, as were passport scans and flight details for around half, and national insurance numbers for the majority of the other half.",1500 files,yes,1997,january,January,https://www.verdict.co.uk/fresh-film-data-breach-dove/,verdict,UK,NA
Unknown,NA,AWS,unsecured s3 bucket,unkown,NA,"scans of passports, tax documents, job applications, proof of address, background checks, expense forms, scanned contracts complete with signatures, salary information, emails",thousands,n/a,n/a,january,January,https://www.wired.co.uk/article/uk-passports-exposed-data-breach,wired,UK,NA
Front Rush,NA,AWS,exposed server,sports,NA,"tudents' SAT scores, personal address, date of birth, physical evaluations, post-injury reports, performance reviews from specific teams for particular players, and athletic financial aid agreements","700,000 files",yes,2006,january,January,https://www.vice.com/en/article/g5xggy/front-rush-college-athlete-recruiting-software-exposed-medical-information-grades,vice,NA,NA
City Brain,NA,Elasticsearch,"left open without any authentication, leaving all the data from its processing open for anybody to view.",technology,NA,city data,56GB,NA,NA,jan,jan,https://www.databreaches.net/smart-cities-with-not-so-smart-security-again/,data breaches,NA,NA
LimeLeads,NA,Elasticsearch,"one of the company's servers had been indexed by search engine Shodan as an open system since at least July 27, 2019",business,NA,business contacts,49 million,no,2016,jan,jan,https://www.zdnet.com/article/49-million-user-records-from-us-data-broker-limeleads-put-up-for-sale-online/,ZDnet,NA,NA
PussyCash,NA,AWS,open folder,adult entertainment,NA,"names, addresses, ssn, emails, phone numbers, physical traits",4000 models,NA,NA,jan,jan,https://www.bbc.com/news/technology-51119845,bbc,NA,NA
Crew and Concierge Limited,NA,AWS,It was left exposed on a misconfigured unsecured Amazon Web Services (AWS) S3 bucket and appears to have been online and available for anyone to access without a password since February 2019.,recruiting,NA,"individual’s full name, phone number, email, nationality, visas held, date of birth, work history and professional qualifications","17,379 people",yes,2007,feb,feb,https://www.verdict.co.uk/data-breach-crew-and-concierge-limited-yachting-industry/,verdict,UK,NA
Rotherwood Healthcare,NA,AWS,"Amazon Web Services S3 bucket accessible to everyone on the internet, the British company’s website privacy policy consisted solely of lorem ipsum placeholder text.",healthcare,NA,"elderly patients' wishes not to be resuscitated, detailed care plans and precisely how much councils paid for individual patients' care","10,000 records",NA,NA,feb,feb,https://www.theregister.com/2020/02/26/rotherwood_healthcare_data_leak_10k_records_aws/,the register,UK,NA
Pabbly,NA,unknown,open and publicly accessible database that contained millions of records and a massive amount of email addresses,business,NA,"customer names, email addresses, subject line, email messaging and more internal records like host path and SMTP data",51.2 million records,yes,2009,feb,feb,https://securitydiscovery.com/pabbly-email-marketing/,security discovery,NA,NA
Cameo,NA,aws,"misconfigured app, anyone with cameo credentials could get into S3 buckets",entertainment,NA,"email addresses, hashed and salted passwords and phone numbers, and messages",NA,no,2017,feb,feb,https://www.vice.com/en/article/akwj5z/cameo-app-exposed-private-videos-user-data-passwords,vice,NA,NA
Rallyhood,NA,aws,left one of its cloud storage buckets containing user data open and exposed,social network,NA,group data,4.1 terabytes of uploaded files,no,2012,feb,feb,https://techcrunch.com/2020/02/23/rallyhood-exposed-decade-data/,techcrunch,NA,NA
Rogers,NA,unknown,"""Rogers became aware that one of our external service providers had inadvertently made information available online that provided access to a database managed by that service provider""",retail,NA,"customers’ names, addresses, account numbers, email addresses, and phone numbers",NA,yes,1995,march,march,https://mobilesyrup.com/2020/03/18/rogers-notifies-customers-their-personal-information-may-have-been-compromised/,mobile syrup,NA,NA
EasyJet,NA,unknown,unknown,transportation,NA,"hackers mainly stole company inetellectual property, customer emails, credit card partials, travel details",9 million,yes,1995,january,april,https://www.helpnetsecurity.com/2020/05/20/easyjet-data-breach-9-million-customers-affected/,helpnet security,NA,"Luton, United Kingdom"
BlueKai,Oracle,unsecured server,"misconfigured server between parent company, accessbile without password",technology,NA,"home addresses, email addresses, website tracking data","""billions of records""",yes,2007,june,june,https://techcrunch.com/2020/06/19/oracle-bluekai-web-tracking/,tech crunch,NA,CA
AIS,NA,elasticsearch,unsecured server with no protection,telecommunications,NA,internet behavior,8.3 billion documents,yes,1989,May 7,May 22,https://rainbowtabl.es/2020/05/25/thai-database-leaks-internet-records/,rainbow tables,NA,thailand
CAM4,NA,elasticsearch,unsecured server with no protection,adult entertainment,NA,"names, emails, location, chat logs, preferences, payment logs, IP addresses",10.8 billion,yes,2007,march,may,https://www.safetydetectives.com/blog/cam-leak-report/,safety detective,NA,unknown
LiveJournal,NA,unknown,"unknown, database just floating around",social networking,NA,"email addresses, login names, passwords,",26 million credentials,yes,1999,2014,May 2020,https://auth0.com/blog/the-11-biggest-data-breaches-of-2020-so-far/,auth0,NA,San Fran
Wishbone,NA,unknown,"unknown, database hacked",social networking,NA,"names, emails, location, gender, phone numbers, social media profiles, passwords",40 million records,no,2015,May,May,https://auth0.com/blog/the-11-biggest-data-breaches-of-2020-so-far/#L6--Wishbone-Data-Breach-Puts-Young-Users-at-Risk,auth0,NA,unknown
Bigfooty.com,NA,elasticsearch,misconfigured database,social networking,NA,"names, passwords, phone numbers, IP addresses, GPS data",132 GB,yes,1999,May,may,https://auth0.com/blog/the-11-biggest-data-breaches-of-2020-so-far/#L6--Wishbone-Data-Breach-Puts-Young-Users-at-Risk,auth0,NA,australia
OneClass,NA,elasticsearch,"unsecured database, accessible to the public",education,NA,"students test data, full names, email addresses, schools, phone numbers, account details",8.9 million records,no,2010,June,June,https://www.infosecurity-magazine.com/news/online-learning-exposes-data-one/,infosecurity,NA,"Toronto, Canada"
ETHERAZ,NA,unknown,"lack of protection, anyone could request a QR code from the server",technology,NA,"names, bdays, ID numbers, location, health status",over 1 million,unknown,unknwon,May,May,https://www.amnestyusa.org/press-releases/contact-tracing-app-security-flaw-exposed-sensitive-personal-details-of-more-than-one-million/,amnesty international,NA,qatar
Mobi Friends,NA,elasticsearch,"easily decrypted passwords, unsecured elasticsearch database",social networking,NA,"bdays, gender, website activity, mobile numbers, usernames, emails, passwords",3.7 million,yes,2005,Jan. 2019,may,https://www.infosecurity-magazine.com/news/data-breach-exposes-four-million/,infosecurity,NA,"Barcelona, Spain"
Babylon,NA,unknown,software error that allowed users to access other users's records,healthcare,NA,health reports,"""handful""",no,2013,June,June,https://www.techradar.com/au/news/babylon-health-data-breach-exposes-user-medical-records-to-strangers,Tech Radar,NA,australia
Joomla,NA,AWS,unencrypted full site backups were stored in an AWS S3 bucket,technology,NA,"names, emails, addresses, phone numbers, urls, business info, passwords, ip addresses","2,700 users",yes,2005,june,june,https://www.crn.com.au/news/content-management-system-joomla-hit-by-data-breach-548844,CRN,NA,australia
Key Ring,NA,AWS,"Instead of setting the S3 buckets storing user files to “private,” Key Ring developers misconfigured the buckets",app,NA,"names, full credit card details (including CVV numbers), email address, birth date, address, membership ID numbers, retail club and loyalty card memberships, government IDs, gift cards, medical insurance cards, medical marijuana IDs, IP address and encrypted passwords.",14 million users,yes,2008,april,april,https://securityboulevard.com/2020/04/data-leak-private-information-of-14-million-key-ring-users-exposed/,security boulevard,NA,"Dallas, TX"
Facebook,NA,elasticsearch,"unsecured database, server belongs to whoever stole the data in the first place?",social networking,NA,"Facebook user's email address, birth date, and gender",267 million profiles,yes,2004,april,april,https://www.bleepingcomputer.com/news/security/267-million-facebook-profiles-sold-for-600-on-the-dark-web/,bleeping computer,NA,MA
Paay,NA,unknown,"there was no password on the server, anyone could access the data inside",finance,NA,"full plaintext credit card number, expiry date and the amount spent",2.5 million records,no,2011,april,april,https://techcrunch.com/2020/04/22/paay-unencrypted-credit-card-data/,tech crunch,NA,NA
US Marshal Service,NA,unknown,hacker breached DSNet by exploiting a vulnerability and then extracted information,government,NA,"names, dates of birth, social security numbers, and home addresses.","387,000 inmates",yes,NA,may,may,https://www.zdnet.com/article/us-marshals-service-exposed-prisoner-details-in-security-breach/,zdnet,NA,NA
Twitter,NA,unknown,"business users’ billing information was inadvertently stored in the browser’s cache, and it was “possible” that others, such as those who share computers, could have accessed it.",social networking,NA,"business users’ email addresses, phone numbers, and the last four-digits of their credit card number",unknown,yes,2006,may,june,https://techcrunch.com/2020/06/23/twitter-says-some-business-users-had-their-pivate-data-exposed/,tech crunch,NA,NA
C-Planet IT Solutions,NA,unknown,unprotected database,technology,NA,"names, ID numbers, addresses, gender, phone numbers, and dates of birth","337,000 voters",NA,NA,april,april,https://www.maltatoday.com.mt/news/national/101403/over_330000_voters_personal_data_leaked_in_security_breach#.Xq_wLKhKg2w,malta today,NA,Malta
Maropost,NA,Google Cloud,unprotected database,marketing,NA,"email addresses, and email logs",20 billion users,no,2011,april,aprila,https://cybernews.com/security/marketing-giant-maropost-exposes-95-million-emails-and-doesnt-seem-to-care-about-it/,Cybernews,NA,NA
Canada,NA,unknown,"""administrative error""",government,NA,"address, date of birth, email, phone number, and passport number",247 passengers,n/a,n/a,april,april,https://www.cbc.ca/news/business/zaandam-cruise-privacy-breach-canadians-1.5531124,CBC,NA,NA
Advanced Computer Software Group Limited,NA,unknown,unsecured online database,technology,NA,law firm info,"10,000 legal docs",yes,2008,may,may,https://www.cpomagazine.com/cyber-security/over-190-law-firms-affected-by-advanced-data-leak-that-exposed-over-10000-legal-documents/,cpo magazine,NA,NA
Jio,NA,unknown,security lapse exposed one of the symptom checker’s core databases to the internet without a password,telecommunications,NA,covid self test data,NA,yes,2007,may,may,https://techcrunch.com/2020/05/02/jio-coronavirus-security-lapse/,tech crunch,NA,NA
Digital Ocean,NA,unknown,an internal Digital Ocean document that was mistakenly left accessible online,technology,NA,"customer email addresses and their respective Digital Ocean usernames, but also account technical details such as the number of droplets (servers) owned by the customer, the user's bandwidth usage, support or sales communications notes, and the amount of money the customer paid during calendar year 2018",NA,no,2011,may,may,https://www.zdnet.com/article/digital-ocean-says-it-exposed-customer-data-after-it-left-an-internal-doc-online/,zdnet,NA,NA
Illinois Department of Employment,NA,unknown,"“made some private information publicly available for a short time, and worked to immediately remedy the situation,”",government,NA,"name, address, Social Security number and unemployment claimant identification information",NA,n/a,n/a,may,may,https://www.chicagotribune.com/coronavirus/ct-pritzker-illinois-unemployment-data-breach-20200517-njjwtky6uvaetj2rln5lhdjy4u-story.html,chicago tribune,NA,NA
MMPSY,NA,elasticsearch,misconfigured server,government,NA,"names, addresses, dob, phone numbers, marital status, gender, email, family names",NA,n/a,n/a,may,may,https://securitydiscovery.com/personal-details-and-ids-of-millions-of-indian-families-exposed-as-a-result-of-security-incident/,security discovery,NA,India
BHIM,NA,AWS,"409GB database was stored in a misconfigured AWS S3 bucket, making all data publicly accessible",app,NA,"scans of Aadhar IDs, caste certificates, proof of residence, Permanent Account Number (PAN) cards, and screenshots of fund transfers for proof. VPN Mentor’s report noted that it also contained more than 1 million UPI IDs; these IDs are directly linked with users’ bank accounts",7 million,no,2016,june,june,https://thenextweb.com/in/2020/06/01/indias-popular-bhim-payments-platform-reportedly-leaks-7m-users-data/,the next web,NA,NA
Dating Apps,NA,AWS,misconfigured AWS S3 bucket containing 845GB of private dating app records,social networking,NA,"photos, many of a graphic, sexual nature; private chats and details of financial transactions; audio recordings; and limited personally identifiable information",845GB,n/a,n/a,june,june,https://www.theregister.com/2020/06/16/dating_apps_aws_s3_leak/,the register,NA,NA
