Country,Total Unique IPv4s Found,Total IPv4s Assigned,In Use %
Afghanistan,13327,167936,7.90%
Albania,30245,3.52E+05,8.60%
Algeria,52060,4791040,1.10%
Angola,34376,1206272,2.80%
Antigua and Barbuda,5282,64512,8.20%
Argentina,790042,19109376,4.10%
Armenia,49970,612640,8.20%
Australia,1305124,48475904,2.70%
Austria,369198,11567456,3.20%
Azerbaijan,37887,755712,5.00%
Bahamas,8599,136704,6.30%
Bahrain,91340,460800,19.80%
Bangladesh,92610,1387008,6.70%
Barbados,4924,172800,2.80%
Belarus,39908,1833216,2.20%
Belgium,259458,"28,502,400",0.90%
Belize,8828,161792,5.50%
Benin,1847,163328,1.10%
Bhutan,1752,29696,5.90%
Bolivia,136917,1144320,12.00%
Bosnia and Herzegovina,51004,795392,6.40%
Botswana,9665,136448,7.10%
Brazil,3499380,83370752,4.20%
Brunei Darussalam,5077,204288,2.50%
Bulgaria,393851,4429056,8.90%
Burkina Faso,1447,96256,1.50%
Burundi,835,35840,2.30%
Cambodia,32585,297216,11.00%
Cameroon,12685,446720,2.80%
Canada,2271426,70383360,3.20%
Cape Verde,1157,29696,3.90%
Central African Republic,206,7424,2.80%
Chad,445,19968,2.20%
Chile,258978,10194944,2.50%
China,8800498,338182144,2.60%
Colombia,857340,17296896,5.00%
Comoros,272,5120,5.30%
Congo,29575,53760,55.00%
"Congo, The Democratic Republic of the",3599,147712,2.40%
Costa Rica,100836,2580224,3.90%
Croatia,140092,2154304,6.50%
Cyprus,32900,1060160,3.10%
Czech Republic,465749,9281920,5.00%
Denmark,492300,12573032,3.90%
Djibouti,610,49664,1.20%
Dominica,1247,11520,10.80%
Dominican Republic,334940,1574912,21.30%
Ecuador,203924,2583040,7.90%
Egypt,1815387,22299136,8.10%
El Salvador,286604,656640,43.60%
Equatorial Guinea,1050,16384,6.40%
Eritrea,2054,4096,50.10%
Estonia,127955,1237560,10.30%
Ethiopia,1514,361472,0.40%
Fiji,3253,142336,2.30%
Finland,312191,13696704,2.30%
France,2589409,81346256,3.20%
Gabon,7183,355328,2.00%
Gambia,1620,258560,0.60%
Georgia,51841,1204224,4.30%
Germany,4191054,119650600,3.50%
Ghana,13780,1134848,1.20%
Greece,225164,5634304,4.00%
Grenada,3275,9728,33.70%
Guatemala,279636,608512,46.00%
Guinea,1766,26368,6.70%
Guinea-Bissau,213,6144,3.50%
Guyana,3436,60416,5.70%
Haiti,6045,162816,3.70%
Honduras,29186,512512,5.70%
Hong Kong,1045826,11814400,8.90%
Hungary,292495,5887488,5.00%
Iceland,23686,882176,2.70%
India,2445357,41411584,5.90%
Indonesia,2251276,18025216,12.50%
"Iran, Islamic Republic of",3919293,12501760,31.30%
Iraq,132583,658688,20.10%
Ireland,1275086,6480720,19.70%
Israel,250294,7714304,3.20%
Italy,2929118,57309312,5.10%
Jamaica,17848,213760,8.30%
Japan,3296558,203276288,1.60%
Jordan,120397,671616,17.90%
Kazakhstan,257883,2931200,8.80%
Kenya,89801,5425408,1.70%
Kiribati,244,4608,5.30%
"Korea, Republic of",6974736,112428032,6.20%
Kuwait,462641,1951232,23.70%
Kyrgyzstan,10944,272640,4.00%
Lao People's Democratic Republic,12938,72192,17.90%
Latvia,191419,1741824,11.00%
Lebanon,162287,571904,28.40%
Lesotho,29184,103424,28.20%
Liberia,2105,31232,6.70%
Lithuania,312365,2282752,13.70%
Luxembourg,43902,1418752,3.10%
Macedonia,34449,683776,5.00%
Madagascar,6689,167680,4.00%
Malawi,4511,418304,1.10%
Malaysia,298804,6586624,4.50%
Maldives,4617,61440,7.50%
Mali,7304,78848,9.30%
Malta,23268,620032,3.80%
Marshall Islands,1695,4096,41.40%
Mauritania,846,42496,2.00%
Mauritius,18320,1869056,1.00%
Mexico,7217151,28842752,25.00%
"Micronesia, Federated States of",3284,8192,40.10%
"Moldova, Republic of",107744,1318400,8.20%
Mongolia,32966,226048,14.60%
Montenegro,16214,225280,7.20%
Morocco,150993,9900288,1.50%
Mozambique,7107,445184,1.60%
Myanmar,2895,129024,2.20%
Nepal,22181,513792,4.30%
Netherlands,3475646,50012384,6.90%
New Zealand,509538,6855168,7.40%
Nicaragua,17769,404736,4.40%
Niger,1215,39936,3.00%
Nigeria,73252,2512384,2.90%
Norway,312842,15924112,2.00%
Oman,533701,912384,58.50%
Pakistan,295517,5353216,5.50%
Palau,252,5632,4.50%
Panama,137393,1875712,7.30%
Papua New Guinea,3985,58368,6.80%
Paraguay,28958,1083648,2.70%
Peru,191007,3171072,6.00%
Philippines,166599,5467904,3.00%
Poland,1420143,20809288,6.80%
Portugal,211918,6621728,3.20%
Qatar,39568,833792,4.70%
Romania,632043,8565504,7.40%
Russian Federation,2491130,45145344,5.50%
Rwanda,3966,345600,1.10%
Saint Kitts and Nevis,2518,14336,17.60%
Saint Vincent and the Grenadines,4541,26112,17.40%
Samoa,995,17920,5.60%
San Marino,1901,34560,5.50%
Sao Tome and Principe,320,9216,3.50%
Saudi Arabia,126927,8905984,1.40%
Senegal,9390,361984,2.60%
Serbia,124246,2285824,5.40%
Seychelles,80072,7965696,1.00%
Sierra Leone,479,51200,0.90%
Singapore,679132,6723072,10.10%
Slovakia,145200,2651392,5.50%
Slovenia,91289,2602240,3.50%
Solomon Islands,668,11520,5.80%
South Africa,3058891,28208896,10.80%
South Sudan,1599,14336,11.20%
Spain,2382967,30237760,7.90%
Sri Lanka,187420,545792,34.30%
Sudan,11754,1271040,0.90%
Suriname,8541,80128,10.70%
Swaziland,5826,44288,13.20%
Sweden,840789,30289512,2.80%
Switzerland,456154,20365512,2.20%
Syrian Arab Republic,358717,1123328,31.90%
Taiwan,2457256,35511552,6.90%
Tajikistan,4946,70144,7.10%
"Tanzania, United Republic of",431751,1045760,41.30%
Thailand,1953700,9.06E+06,21.60%
Timor-Leste,1357,13568,10.00%
Togo,1120,304128,0.40%
Tonga,412,9728,4.20%
Trinidad and Tobago,33483,533504,6.30%
Tunisia,160462,5227008,3.10%
Turkey,1381183,16474112,8.40%
Turkmenistan,620,17920,3.50%
Uganda,8292,887040,0.90%
Ukraine,593135,11746656,5.00%
United Arab Emirates,1630014,3929472,41.50%
United Kingdom,2973943,126463384,2.40%
United States,37096215,1613186816,2.30%
Uruguay,50853,2441216,2.10%
Uzbekistan,98180,230912,42.50%
Vanuatu,1107,16640,6.70%
Venezuela,521313,6796544,7.70%
Vietnam,842877,15860992,5.30%
Yemen,15958,134144,11.90%
Zambia,9630,1096192,0.90%
Zimbabwe,12927,88576,14.60%